municipality,county,population,Allow Consumption Site,area,nhcs,notes,type,x1,x2,labels,zip,,AD,,
Haverstraw ,Rockland,#FIELD!,No,#FIELD!,2,Decision as of: 12/8/2021 (on-site consumption only),Village,,,1,,,Yes,,
Hillburn,Rockland,930,No,6,2,Decision as of: 12/14/2021,Town,,,1,,,No,,
Kastel ,Rockland,10,No,#FIELD!,2,Decision as of: 12/20/2021,Village,,,0,,,No,,
Montebello,Rockland,"4,507",Yes,11,2,Rockland County Business Journal reporting,Town,,,1,,,Yes,,
New Hempstead,Rockland,"5,415",Yes,7,2,Correspondence with Village,Village,,,0,,,Yes,,
New Square,Rockland,"9,679",Yes,1,2,Rockland County Business Journal reporting,Village,,,0,,,Yes,,
Nyack,Rockland,"7,185",No,4,2,Correspondence with Village,Village,,,1,,,No,,
Orangetown,Rockland,"50,092",Yes,81,2,Correspondence with Village,Village,,,0,,,Yes,,
Piermont,Rockland,"2,535",No,3,2,Decision as of: 12/21/2021,Village,,,1,,,No,,
Pomona,Rockland,"3,824",No,6,2,Decision as of: 12/13/2021,Village,,,0,,,No,,
Ramapo,Rockland,"148,919",No,160,2,Rockland County Business Journal reporting,Village ,,,0,,,Yes,,
Sloatsburg,Rockland,"3,036",No,7,2,Decision as of: 6/22/2021,Town,,,0,,,No,,
South Nyack,Rockland,"3,502",No,4,2,Decision as of: 12/7/2021,Village,,,1,,,Yes,,
Spring Valley ,Rockland,#FIELD!,No,#FIELD!,2,Decision as of: 11/22/2021,Village ,,,1,,,No,,
Stony Point,Rockland,"15,377",No,82,2,Decision as of: 11/10/2021,Town,,,0,,,No,,
Suffern,Rockland,"11,027",No,5,2,Decision as of: 11/30/2021,Village,,,0,,,No,,
Upper Nyack,Rockland,"2,015",Yes,11,2,Village to be dissolved effective 4/1/2022 so no action taken; will be absorbed by Orangetown who opted out,Village,,,1,,,Yes,,
Wesley Hills,Rockland,"6,116",Yes,9,2,Rockland County Business Journal reporting,Village,,,1,,,Yes,,
West Haverstraw,Rockland,"10,221",No,4,2,Decision as of: 7/13/2021,Town,,,0,,,No,,
Ballston,Rockland,"11,258",No,78,3,Decision as of: 7/12/2021,Village,,,1,,,No,,
Ballston Spa,Rockland,"5,276",Yes,4,3,Correspondence with Village,Village,,,1,,,Yes,,
Charlton,Rockland,"4,182",Yes,85,3,correspondence with Village,Village,,,0,,,Yes,,
Clifton Park,Rockland,"38,029",No,130,3,Decision as of: 7/21/2021,Village,,,0,,,No,,
Corinth,Saratoga,"6,440",No,151,3,Decision as of: 9/14/2021,Town,,,1,,,Yes,,
Corinth ,Saratoga,#FIELD!,Yes,#FIELD!,3,Public Hearing held: 10/25/2021,Village ,,,1,,,Yes,,
Day ,Saratoga,#FIELD!,No,#FIELD!,3,Decision as of: 11/8/2021,Town,,,0,,,No,,
Edinburg,Saratoga,"1,214",No,174,3,Decision as of: 12/13/2021,Town,,,0,,,No,,
Galway ,Saratoga,#FIELD!,Yes,#FIELD!,3,Correspondence with Town,Town,,,0,,,Yes,,
Galway,Saratoga,195,Yes,1,3,"Decision as of: 7/21/2021—""After discussion, the Board decided not to opt out, Atty Buettner will begin the process for zoning changes.""",Village,,,0,,,Yes,,
Greenfield,Saratoga,"7,762",No,175,3,Decision as of: 9/13/2021,Town,,,1,,,No,,
Hadley,Saratoga,"2,030",No,106,3,Correspondence with Town,Town,,,1,,,No,,
Halfmoon,Saratoga,"23,898",No,87,3,Decision as of: 9/14/2021,Town,,,1,,,No,,
Alta,Saratoga,"15,342",No,9,3,Decision as of 10/21/21,Village,,,0,,,No,,
Mechanicville,Saratoga,"5,088",Yes,2,3,Correpondence with Town,Town,,,1,,,Yes,,
Milton,Saratoga,"19,522",Yes,93,3,Correspondence with Town,Town,,,1,,,Yes,,
Moreau,Saratoga,"15,556",No,113,3,Decision as of: 11/3/2021 (on-site consumption only) ,Town,,,0,,,Yes,,
Northumberland,Saratoga,"5,131",No,85,3,Decision as of: 12/6/21,Town,,,0,,,No,,
Providence,Saratoga,"2,060",No,117,3,Decision as of: 11/10/2021 (on-site consumption only),City,,,0,,,Yes,,
Round Lake,Saratoga,"1,245",No,3,3,Decision as of: 11/24/2021 (on-site consumption only),Town,,,1,,,Yes,,
Saratoga,Saratoga,"5,725",No,111,3,Decision as of: 12/22/2021,Town,,,1,,,No,,
Saratoga Springs,Saratoga,"28,491",No,75,3,Decision as of: 11/4/2021,Town,,,1,,,No,,
Schuylerville,Saratoga,"1,352",No,2,3,Decision as of: 11/18/2021,Town,,,1,,,No,,
South Glens Falls,Saratoga,"3,659",Yes,4,3,Correspondence with Village,Village,,,1,,,Yes,,
Stillwater,Saratoga,"8,932",No,113,3,Decision as of: 12/12/2021 (on-site consumption only); Glens Falls Chronicle reporting,Town,,,1,,,Yes,,
Stillwater,Saratoga,"8,932",Yes,113,3,Times Union reporting,City,,,1,,,Yes,,
Victory ,Saratoga,#FIELD!,Yes,#FIELD!,3,Decision as of: 12/21/2021,Village,,,0,,,Yes,,
Waterford,Saratoga,"8,208",No,#FIELD!,3,Decision as of 10/21/2021; Glens Falls Chronicle reporting,Village,,,1,,,Yes,,
Waterford ,Saratoga,#FIELD!,Yes,#FIELD!,3,Correspondence with Town,Town,,,0,,,Yes,,
Wilton,Saratoga,"17,361",No,93,3,Decision as of: 12/21/2021 (on-site conumption only),Village,,,0,,,Yes,,
Delanson,Saratoga,382,No,2,3,Decision as of: 9/14/2021,Village,,,0,,,No,,
Duanesburg,Saratoga,"6,262",No,187,3,Decision as of: 12/28/2021,Town,,,1,,,Yes,,
Glenville,Saratoga,"29,326",No,131,3,Decision as of: 10/13/2021,Village,,,0,,,No,,
Niskayuna,Saratoga,"23,278",No,39,3,Decision as of: 6/3/2021,Town,,,0,,,No,,
Princetown,Schenectady,"2,097",*,63,3,,Village,,,0,,,*,,
Rotterdam,Schenectady,"30,523",Yes,94,3,Correspondence with Town,Town,,,1,,,Yes,,
Schenectady,Schenectady,"67,047",No,28,3,Decision as of: 11/3/2021,Town,,,1,,,No,,
Scotia,Schenectady,"7,654",No,5,3,Decision as of: 11/18/2021,Town,,,1,,,No,,
Blenheim,Schenectady,365,No,89,3,Correspondence with Town,Town,,,1,,,No,,
Broome,Schenectady,989,Yes,125,3,Daily Gazette reporting,Town,,,1,,,Yes,,
Carlisle,Schenectady,"1,867",Yes,89,3,Decision as of: 12/13/2021,City,,,1,,,Yes,,
Cobleskill,Schenectady,"6,239",Yes,80,3,Correspondence with Village,Village,,,1,,,Yes,,
Cobleskill,Schoharie,"6,239",Yes,80,3,Correspondence with Town,Town,,,1,,,Yes,,
Conesville,Schoharie,690,Yes,103,3,Correspondence with Town,Town,,,1,,,Yes,,
Esperance,Schoharie,"1,985",Yes,52,3,Correspondence with Town ,Town,,,1,,,Yes,,
Esperance,Schoharie,"1,985",Yes,52,3,Decision as of: 12/13/2021,Town,,,1,,,Yes,,
Fulton,Schoharie,"1,279",No,168,3,Correspondence with Village,Village,,,0,,,Yes,,
Gilboa,Schoharie,"1,255",Yes,154,3,Correspondence with Town,Town,,,1,,,Yes,,
Jefferson,Schoharie,"4,182",Yes,16,3,Correspondence with Town,Town,,,0,,,Yes,,
Middleburgh,Schoharie,"3,543",Yes,128,3,Correspondence with Village,Village,,,1,,,Yes,,
Middlebury ,Schoharie,"7,304",No,37,3,Decision as of: 12/13/2021,Town,,,1,,,No,,
Richmondville,Schoharie,"2,481",Yes,78,3,Correspondence with Town,Town,,,0,,,Yes,,
Richmondville,Schoharie,"2,481",No,78,3,Decision as of: 11/4/2021,Town,,,1,,,No,,
Schoharie,Schoharie,"3,002",Yes,78,3,Correpondence with Town,Town,,,1,,,Yes,,
Schoharie,Schoharie,"3,002",No,78,3,Correspondence with Village,Village,,,1,,,Yes,,
Seward,Schoharie,"1,670",No,95,3,Correspondence with Town,Town,,,1,,,No,,
Sharon,Schoharie,"1,763",No,102,3,Decision as of: 12/2/2021,Village,,,0,,,Yes,,
Sharon Springs,Schoharie,528,Yes,5,3,Corespondence with Town,Town,,,0,,,Yes,,
Summit,Schoharie,"1,075",Yes,97,3,Decision as of: 12/15/2021,Village,,,0,,,Yes,,
Wright,Schoharie,"1,464",Yes,74,3,Correspondence with Town,Town,,,1,,,Yes,,
Burdett,Schoharie,318,No,3,6,Decision as of: 11/3/2021,Town,,,0,,,No,,
Catharine,Schoharie,"1,683",No,85,6,Correspondence with Village,Village,,,1,,,No,,
Cayuta,Schoharie,518,No,53,6,Correspondence with Town,Town,,,0,,,No,,
Dix,Schoharie,"3,911",Yes,95,6,Decision as of: 11/8/2021,Town,,,1,,,Yes,,
Hector,Schuyler,"4,933",No,291,6,Correspondence with Village,Village,,,1,,,No,,
Montour,Schuyler,"2,212",Yes,48,6,Correspondence with Town,Town,,,1,,,Yes,,
Montour Falls,Schuyler,"2,714",No,8,6,Office of Cannabis Management data,Town,,,0,,,No,,
Odessa,Schuyler,559,Yes,3,6,Coorespondence with Town,Town,,,0,,,Yes,,
Orange,Schuyler,"1,415",Yes,141,6,Correspondence with Town,Town,,,1,,,Yes,,
Reading ,Schuyler,#FIELD!,Yes,#FIELD!,6,Correspondence with Town,Town,,,1,,,Yes,,
Tyrone,Schuyler,"1,581",No,103,6,Decision as of: 12/2/2021,Village,,,0,,,No,,
Watkins Glen,Schuyler,"1,899",No,6,6,Decision as of: 12/9/2021; Referendum affirmed opt out 3/15/22,Village ,,,1,,,No,,
Covert,Schuyler,"2,104",Yes,97,5,Correspondence with Town,Town,,,0,,,Yes,,
Fayette,Schuyler,"3,802",Yes,172,5,Correspondence with Town,Town,,,0,,,Yes,,
Interlaken,Schuyler,604,No,1,5,Decision as of: 12/14/2021,Town,,,0,,,No,,
Junius,Schuyler,"1,435",Yes,70,5,"Decision as of: 10/5/2021—""The Board was not in favor of opting out, however they would like to implement guidelines in the proposed zoning law.""",Village,,,1,,,Yes,,
Lodi,Seneca ,"3,282",No,75,5,Decision as of: 7/12/2021,Town,,,1,,,No,,
Lodi,Seneca ,"1,520",No,103,5,Decision as of: 9/29/2021,Town,,,1,,,No,,
Ovid,Seneca ,"2,291",No,100,5,Correspondence with Village,Village,,,0,,,No,,
Ovid,Seneca ,"2,291",Yes,100,5,Correspondence with Town,Town,,,0,,,Yes,,
Romulus,Seneca ,"4,251",Yes,133,5,Decision as of: 12/9/2021,Town,,,1,,,Yes,,
Seneca Falls,Seneca ,"8,680",Yes,71,5,Correspondence with Village,Village,,,1,,,Yes,,
Tyre,Seneca ,"1,056",No,86,5,Decision as of: 8/11/2021,Town,,,1,,,No,,
Varick,Seneca ,"1,798",No,118,5,Decision as of: 8/9/2021,Village,,,0,,,No,,
Waterloo,Seneca ,"67,314",Yes,164,5,"Decision as of: 10/20/2021, Local Law #4 failed",Town,,,1,,,Yes,,
Waterloo ,Seneca ,#FIELD!,Yes,#FIELD!,5,Decision as of: 9/7/2021,Town,,,0,,,Yes,,
Brasher,Seneca ,"2,410",Yes,239,5,Correspondence with Town,Town,,,0,,,Yes,,
Canton,Seneca ,"11,638",No,274,5,Decision as of 11/3/2021,Town,,,1,,,No,,
Canton,Seneca ,"7,155",Yes,9,5,Correspondence with Town,Town,,,1,,,Yes,,
Clare,Seneca ,103,No,252,5,Decision as of: 9/13/2021,Village,,,0,,,No,,
Clifton,St. Lawrence,675,No,390,5,Decision as of: 11/17/2021,Town,,,0,,,No,,
Colton,St. Lawrence,"1,417",Yes,660,5,Correspondence with Town,Town,,,1,,,Yes,,
De Kalb,St. Lawrence,"2,329",Yes,215,5,North Country Now reporting,Village,,,0,,,Yes,,
De Peyster,St. Lawrence,"1,050",*,117,5,,Town,,,0,,,*,,
Edwards,St. Lawrence,"1,116",No,133,5,Decision as of: 12/13/2021,Town,,,1,,,No,,
Fine,St. Lawrence,"1,450",Yes,439,5,Correspondence with Town,Town,,,1,,,Yes,,
Fowler,St. Lawrence,"2,110",No,157,5,Correspondence with Town,Town,,,0,,,No,,
Gouverneur,St. Lawrence,"7,074",*,188,5,,Town,,,1,,,*,,
Gouverneur,St. Lawrence,"7,074",Yes,188,5,Correspondence with Town,Town,,,0,,,Yes,,
Hammond,St. Lawrence,"1,258",Yes,#FIELD!,5,Correspondence with Town,Town,,,0,,,Yes,,
Hammond,St. Lawrence,"1,258",No,#FIELD!,5,Decision as of: 12/20/2021,Town,,,0,,,No,,
Hermon,St. Lawrence,"1,057",Yes,140,5,Correspondence with Town,Town,,,1,,,Yes,,
Heuvelton,St. Lawrence,721,*,2,5,,Village,,,0,,,*,,
Hopkinton,St. Lawrence,"1,032",No,484,5,Decision as of: 9/8/2021,Town,,,0,,,No,,
St. Lawrence,St. Lawrence,"108,047",No,"7,306",5,Decision as of: 11/22/2021,Village,,,1,,,No,,
Lisbon,St. Lawrence,"4,058",Yes,294,5,Correspondence with Town,Town,,,1,,,Yes,,
Louisville,St. Lawrence,"3,037",No,165,5,Decision as of: 10/13/2021,Village,,,1,,,No,,
Macomb,St. Lawrence,880,No,164,5,Decision as of: 9/20/2021,Town,,,1,,,No,,
Madrid,St. Lawrence,"1,651",Yes,139,5,Correspondence with Town,Town,,,0,,,Yes,,
Massena,St. Lawrence,"12,114",Yes,145,5,Correspondence with Town,Town,,,1,,,Yes,,
Massena,St. Lawrence,"10,151",Yes,12,5,Correspondence with Town,Town,,,1,,,Yes,,
Morristown ,St. Lawrence,#FIELD!,Yes,#FIELD!,5,Correspondence with Town,Town,,,1,,,Yes,,
Norfolk,St. Lawrence,"4,473",No,150,5,Decision as of: 11/10/2021,Town,,,0,,,No,,
Norwood,St. Lawrence,"1,552",No,6,5,Decision as of: 11/10/2021 (on-site consumption only),Town,,,1,,,Yes,,
Oldenburg,St. Lawrence,"162,481",No,103,5,Decision as of: 10/19/2021,Village,,,1,,,Yes,,
Oswegatchie,St. Lawrence,"4,274",Yes,185,5,"Decision as of: 9/7/2021—""A motion by Councilman Turner to amend the preceeding motion to read the town of Morristown opt in to allowing cannabis sales in the town……The amended option passes.""",Town,,,1,,,Yes,,
Parishville,St. Lawrence,"2,045",No,"5,672",5,Decision as of: 11/11/2021,Town,,,1,,,No,,
Piercefield,St. Lawrence,287,Yes,288,5,Correspondence with Village,Village,,,1,,,Yes,,
Pierrepont,St. Lawrence,"2,523",Yes,157,5,Decision as of: 10/25/2021,City,,,1,,,Yes,,
Pitcairn,St. Lawrence,803,Yes,154,5,Correspondence with Town,Town,,,0,,,Yes,,
Potsdam,St. Lawrence,"14,901",Yes,268,5,Correspondence with Town,Town,,,1,,,Yes,,
Potsdam ,St. Lawrence,#FIELD!,Yes,#FIELD!,5,Correspondence with Town,Town,,,1,,,Yes,,
Rensselaer Falls,St. Lawrence,308,Yes,1,5,Correspondence with Town,Town,,,1,,,Yes,,
Richville,St. Lawrence,303,No,2,5,Decision as of: 12/28/2021,Town,,,0,,,No,,
Rossie,St. Lawrence,840,Yes,101,5,Correspondence with Town,Town,,,0,,,Yes,,
Russell,St. Lawrence,"1,804",Yes,252,5,WWNY reporting,Village,,,1,,,Yes,,
Stockholm,St. Lawrence,"3,622",Yes,244,5,Correspondence with Village,Village,,,1,,,Yes,,
Waddington,St. Lawrence,"2,235",No,#FIELD!,5,Correspondence with Village,Village,,,1,,,No,,
Waddington,St. Lawrence,"2,235",*,#FIELD!,5,,Town,,,1,,,*,,
Addison,St. Lawrence,"1,666",Yes,5,5,Corresponedence with Town,Town,,,0,,,Yes,,
Addison,St. Lawrence,"1,666",Yes,5,5,Correspondence with Town,Town,,,0,,,Yes,,
Almond,St. Lawrence,"1,537",Yes,119,5,Correspondence with Town,Town,,,1,,,Yes,,
Arkport,St. Lawrence,797,Yes,2,5,Correspondence with Village,Village,,,0,,,Yes,,
Avoca,Steuben,"2,158",No,94,5,Correspondence with Town,Town,,,0,,,No,,
Avoca,Steuben,"2,158",No,94,5,Decision as of: 12/13/2021,Village,,,0,,,No,,
Ziway,Steuben,"43,660",Yes,#FIELD!,5,Correspondence with Village; also located in Allegany County,Village ,,,0,,,Yes,,
Bata ,Steuben,"1,217",No,#FIELD!,5,Decision as of: 12/21/2021,Village,,,1,,,No,,
Bradford ,Steuben,#FIELD!,No,#FIELD!,5,Decision as of: 10/20/2021,Town,,,0,,,No,,
Cameron ,Steuben,#FIELD!,No,#FIELD!,5,Decision as of: 9/9/2021,Village,,,0,,,No,,
Campbell ,Steuben,#FIELD!,No,#FIELD!,5,Decision as of: 11/8/2021,Town,,,0,,,No,,
Canisteo,Steuben,"3,268",Yes,141,5,WETM reporting,Village,,,0,,,Yes,,
Canisteo,Steuben,"3,268",*,141,5,,Town,,,0,,,*,,
Caton,Steuben,"2,115",No,98,5,Decision as of: 11/10/2021,Town,,,0,,,No,,
Cohocton,Steuben,"2,465",No,145,5,Decision as of: 11/8/2021,Town,,,1,,,No,,
Cohocton,Steuben,"2,465",No,145,5,Decision as of: 11/8/2021,Town,,,1,,,No,,
Corning ,Steuben,#FIELD!,No,#FIELD!,5,Correspondence with Village,Village,,,1,,,No,,
Corning,Steuben,"6,223",No,97,5,Decision as of: 12/12/2021  ,Town,,,0,,,No,,
Dansville,Steuben,"1,835",Yes,#FIELD!,5,Correspondence with Town,Town,,,0,,,Yes,,
Erwin,Steuben,"8,189",Yes,102,5,Correspondence with Village,Village,,,0,,,Yes,,
Fremont,Steuben,"1,353",No,133,5,Decision as of: 12/6/2021,City,,,0,,,Yes,,
Greenwood,Steuben,766,No,107,5,Correspondence with Town,Town,,,0,,,No,,
Hammondsport,Steuben,624,No,1,5,Decision as of: 11/11/2021,Town,,,0,,,No,,
Hartsville,Steuben,581,No,94,5,Decision as of: 12/14/2021,Town,,,0,,,No,,
Hornby,Steuben,"1,658",No,106,5,Decision as of: 10/13/2021,Town,,,1,,,No,,
Hornell,Steuben,"8,263",No,7,5,Decision as of: 12/9/2021,Town,,,0,,,No,,
Hornellsville,Steuben,"3,991",No,113,5,Decision as of: 11/9/2021,Village,,,0,,,No,,
Howard ,Steuben,#FIELD!,No,#FIELD!,5,Correspondence with Town,Town,,,0,,,No,,
Jasper,Steuben,"1,373",Yes,136,5,Correspondence with Town,Town,,,0,,,Yes,,
Lindley,Steuben,"1,911",No,98,5,Decision as of: 12/20/2021,City,,,1,,,No,,
North Hornell,Steuben,747,No,2,5,Decsion as of: 12/21/2021,Town,,,0,,,No,,
Painted Post,Steuben,"1,935",No,3,5,Decision as of: 12/22/2021,Town,,,1,,,No,,
Plattsburgh,Steuben,"11,886",No,177,5,Decision as of: 10/19/2021,Town,,,0,,,No,,
Pulteney,Steuben,"1,259",No,94,5,Decision as of: 12/15/2021,Town,,,1,,,Yes,,
Rathbone,Steuben,"1,094",No,93,5,Decision as of: 12/13/2021,Village,,,1,,,No,,
Riverside,Steuben,475,Yes,1,5,Correspondence with Village,Village,,,0,,,Yes,,
Savona,Steuben,784,No,3,5,Correspondence with Town,Town,,,0,,,No,,
South Corning,Steuben,"1,091",Yes,2,5,Correspondence with Town,Town,,,0,,,Yes,,
Thurston,Steuben,"1,288",Yes,95,5,Correspondence with Town,Town,,,0,,,Yes,,
Troupsburg,Steuben,"1,267",No,159,5,Decision as of: 10/12/2021,Village,,,0,,,No,,
Tuscarora,Steuben,"1,446",No,98,5,Decision as of: 12/20/2021 (on-site consumption),Village,,,0,,,*,,
Urbana,Steuben,"2,276",No,114,5,Decision as of: 12/7/2021,Village,,,0,,,No,,
Wayland,Steuben,"1,769",No,3,5,Decision as of: 11/10/2021,Town,,,1,,,No,,
Wayland,Steuben,"1,769",No,3,5,Decision as of: 11/10/2021,Town,,,0,,,No,,
Wayne,Steuben,988,No,59,5,Decision as of: 11/4/2021,Town,,,0,,,No,,
West Union,Steuben,"2,490",No,7,5,Decision as of: 10/19/2021,Town,,,0,,,No,,
Wheeler,Steuben,"1,243",Yes,119,5,Correspondence with Town,Town,,,0,,,Yes,,
Woodhull,Steuben,"1,641",No,143,5,Decision as of: 10/13/2021,Village,,,1,,,No,,
Amityville,Steuben,"9,500",No,6,2,Correspondence with Town,Town,,,0,,,No,,
Asharoken,Steuben,645,*,17,2,,Town,,,1,,,*,,
Babylon,Steuben,"218,223",No,296,2,Correspondence with Town,Town,,,1,,,No,,
Babylon ,Steuben,#FIELD!,Yes,#FIELD!,2,Correspondence with Town,Town,,,0,,,Yes,,
Belle Terre,Suffolk,787,No,2,2,Decision as of: 9/13/2021; Referendum affirmed opt out: 11/2/2021 ,Village,,,1,,,No,,
Bellport,Suffolk,"2,056",Yes,4,2,Long Island Press reporting - no or limited commercial properties in municipality,Village,,,0,,,Yes,,
Brightwaters,Suffolk,"3,054",Yes,3,2,Decision as of: 11/4/2021—vote to hold a public hearing resulted in tie,Town,,,0,,,Yes,,
Brookhaven ,Suffolk,#FIELD!,No,#FIELD!,2,Decision as of: 11/23/2021,Village,,,1,,,No,,
Dering Harbor,Suffolk,11,Yes,1,2,Long Island Press reporting - no or limited commercial properties in municipality,Village,,,0,,,Yes,,
East Hampton ,Suffolk,#FIELD!,No,#FIELD!,2,Long Island Press reporting,Village,,,0,,,No,,
East Hampton ,Suffolk,#FIELD!,No,#FIELD!,2,Decision as of: 10/4/2021,Village,,,0,,,No,,
Greenport,Suffolk,"2,224",Yes,3,2,Limited to industrial areas.,Town,,,0,,,Yes,,
Head of the Harbor,Suffolk,"1,520",No,8,2,Decision as of: 11/13/2021,Village,,,1,,,No,,
Huntington,Suffolk,"201,546",No,355,2,Decision as of: 11/18/2021,Town,,,0,,,No,,
Huntington Bay,Suffolk,"1,435",No,5,2,Decision as of: 11/19/2021,Village,,,1,,,No,,
Islandia,Suffolk,"3,567",No,6,2,Decision as of: 11/29/2021,Village,,,0,,,No,,
Islip ,Suffolk,#FIELD!,Yes,#FIELD!,2,Correspondence with Village,Village,,,0,,,Yes,,
Lake Grove,Suffolk,"11,072",No,8,2,Decision as of: 12/14/2021,Town,,,0,,,No,,
Lindenhurst,Suffolk,"27,148",Yes,10,2,Correspondence with Village - no or limited commercial properties in municipality,Village,,,0,,,Yes,,
Lloyd Harbor,Suffolk,"3,669",No,27,2,Decision as of: 8/31/2021,Village,,,0,,,No,,
Nissequogue,Suffolk,"1,564",No,10,2,Decision as of: 8/10/2021,Town,,,0,,,No,,
North Haven,Suffolk,"1,162",No,7,2,Long Island Press reporting  ,Village,,,1,,,No,,
Northport ,Suffolk,#FIELD!,No,#FIELD!,2,Correspondence with Village,Village,,,0,,,No,,
Ocean Beach,Suffolk,83,No,0,2,Decision as of: 7/19/2021,Village,,,0,,,No,,
Old Field,Suffolk,908,No,6,2,Long Island Press reporting,Village,,,1,,,No,,
Patchogue ,Suffolk,#FIELD!,Yes,#FIELD!,2,Correspondence with Village - no or limited commercial properties in municipality,Village,,,0,,,Yes,,
Poquott,Suffolk,934,No,2,2,Correspondence with Village,Village,,,0,,,No,,
Port Jefferson ,Suffolk,#FIELD!,No,#FIELD!,2,Decision as of: 9/18/2021,Village,,,0,,,No,,
Quogue ,Suffolk,#FIELD!,Yes,#FIELD!,2,Correspondence with Village,Village,,,0,,,Yes,,
Riverhead,Suffolk,"35,902",No,521,2,Decision as of: 9/28/2021,Village,,,1,,,No,,
Sag Harbor,Suffolk,"2,772",No,6,2,Decision as of: 10/14/2021,Village,,,0,,,No,,
Sagaponack,Suffolk,770,No,12,2,Decision as of: 11/1/2021,Village,,,0,,,No,,
Saltaire,Suffolk,41,No,1,2,Decision as of: 10/15/2021,Village,,,0,,,No,,
Shelter Island,Suffolk,"2,411",Yes,70,2,Decision as of 7/7/2021—vote to not opt out,Town,,,0,,,Yes,,
Shoreham,Suffolk,533,No,1,2,Decision as of: 12/14/2021,Village ,,,0,,,No,,
Smithtown,Suffolk,"116,296",No,289,2,Decision as of: 10/18/2021,Village,,,0,,,No,,
Southampton ,Suffolk,#FIELD!,No,#FIELD!,2,Decision as of: 12/14/2021,Village,,,1,,,No,,
Southampton ,Suffolk,#FIELD!,No,#FIELD!,2,Decision as of: 5/28/2021,Town,,,0,,,No,,
Southold ,Suffolk,#FIELD!,No,#FIELD!,2,Correspondence with Village,Village,,,0,,,No,,
Village of the Branch,Suffolk,"1,797",No,3,2,Decision as of: 11/2/2021,Town,,,0,,,No,,
West Hampton Dunes,Suffolk,58,Yes,1,2,Newsday reporting,Town,,,1,,,Yes,,
Westhampton Beach,Suffolk,"2,150",No,8,2,Decision as of: 9/9/2021,Village,,,0,,,No,,
Bethel ,Suffolk,#FIELD!,No,#FIELD!,6,Decision as of: 12/28/2021,Town,,,1,,,No,,
Bloomingburg,Suffolk,"1,032",No,1,6,Decision as of: 11/9/2021,Village,,,0,,,No,,
Callicoon,Suffolk,"2,931",Yes,127,6,Long Island Press reporting - no or limited commercial properties in municipality,Village,,,0,,,Yes,,
Cochecton,Suffolk,"1,320",No,97,6,Decision as of: 10/7/2021,Village,,,0,,,No,,
Delaware ,Sullivan,#FIELD!,Yes,#FIELD!,6,Correspondence with Town,Town,,,1,,,Yes,,
Fallsburg,Sullivan,"13,022",No,205,6,Correspondence with Village,Village,,,1,,,No,,
Forestburgh,Sullivan,808,No,147,6,Decision as of: 9/13/2021,Town,,,1,,,No,,
Fremont,Sullivan,"1,353",No,133,6,Decision as of: 11/10/2021,Town,,,0,,,No,,
Barryville,Sullivan,"2,196",Yes,#FIELD!,6,"Decision as of: 9/8/2021—""There was discussion among the Board, resulting in a decision to do nothing; Councilman Steppich opposed.""",Town,,,1,,,Yes,,
Jeffersonville,Sullivan,368,Yes,1,6,Decision as of: 12/27/2021,Town,,,1,,,Yes,,
Liberty ,Sullivan,#FIELD!,Yes,#FIELD!,6,Correspondence with Town,Town,,,1,,,Yes,,
Liberty,Sullivan,"4,700",*,6,6,,Town,,,1,,,*,,
Lumberland,Sullivan,"2,398",No,128,6,Decision as of: 12/14/2021,Town,,,0,,,Yes,,
Mamakating,Sullivan,"12,655",Yes,254,6,Correspondence with Village,Village,,,1,,,Yes,,
Monticello,Sullivan,"7,173",Yes,11,6,Correspondence with Town,Town,,,1,,,Yes,,
Neversink,Sullivan,"3,433",Yes,224,6,Correspondence with Village,Village,,,0,,,Yes,,
Rockland,Sullivan,"3,678",No,247,6,Decision as of: 7/14/2021,Town,,,1,,,No,,
Thompson ,Sullivan,#FIELD!,Yes,#FIELD!,6,Decision as of: 7/20/2021; Referendum overturned on-site consumption opt out: 11/2/2021 ,Town,,,1,,,Yes,,
Tusten,Sullivan,"1,482",Yes,126,6,Correspondence with Village,Village,,,1,,,Yes,,
Woodridge,Sullivan,782,No,4,6,Decision as of: 10/13/2021,Town,,,1,,,No,,
Wurtsboro,Sullivan,"1,124",Yes,3,6,Decision as of: 12/2/2021; Correspondence with Town,Town,,,1,,,Yes,,
Barton ,Sullivan,#FIELD!,Yes,#FIELD!,4,Correspondence with Town,Town,,,0,,,Yes,,
Berkshire,Sullivan,"1,351",Yes,78,4,Decision as of: 11/9/2021; Referrendum overturned dispensary and on-site consumption opt out: 11/8/2022,Town,,,1,,,Yes,,
Candor,Sullivan,"5,024",Yes,245,4,Correspondence with Village,Village,,,1,,,Yes,,
Endor,Sullivan,#FIELD!,Yes,#FIELD!,4,Correspondence with Village,Village,,,1,,,Yes,,
Newark Valley,Tioga,"3,642",No,#FIELD!,4,Decision as of: 12/29/2021,Town,,,0,,,No,,
Newark Valley,Tioga,"3,642",Yes,#FIELD!,4,Correspondence with Town,Town,,,1,,,Yes,,
Nichols,Tioga,"2,439",Yes,90,4,Correspondence with Town,Town,,,1,,,Yes,,
Nichols,Tioga,"2,439",Yes,90,4,Coorespondence with Village,Village,,,0,,,Yes,,
Owego,Tioga,"18,843",No,274,4,Decision as of: 10/19/2021,Town,,,0,,,No,,
Owego,Tioga,"3,654",No,7,4,Decision as of: 12/27/2021,Village,,,1,,,Yes,,
